Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/17  08:00:00,22.187499999999998,5.1499999999999999,338.625,3.0,26.840894204592215,25.006457243579854,25.92367572408603,0.0,0.0,125.42473999504604,1.1613401851393153,25.006457243579854,2.0,1.0,1.0,17.401786466961466,0.0,1017.1516948237348,283.1848540070083,3355200.0,3661746.101365445,0.0,1038.4483095233163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.1848540070083 
 01/17  09:00:00,22.1125,4.925,335.125,3.0,27.456330765601324,25.000003246868937,26.228167006235134,0.0,0.0,119.3463648482603,1.105058933780188,25.000003246868937,2.0,1.0,1.0,17.401786466961466,0.0,1460.7119907976105,316.12599239108558,3355200.0,5258563.166871397,0.0,1159.244563223636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.12599239108558 
 01/17  10:00:00,22.3125,4.825000000000001,340.375,3.0,28.37050475262936,25.00000000290301,26.685252377766184,0.0,0.0,114.82361063504102,1.0631815799540836,25.00000000290301,2.0,1.0,0.5,17.401786466961466,0.0,1937.542307355662,351.53793883001409,3355200.0,6975152.306480383,0.0,1289.1013525119695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.53793883001409 
 01/17  11:00:00,23.250000000000005,5.275,343.5,3.0,28.7798419221926,25.0000000000047,26.889920961098654,0.0,0.0,127.84207560004174,1.1837229222226089,25.0000000000047,2.0,1.0,0.0,17.401786466961466,0.0,2192.2734922344116,370.4556266573417,3355200.0,7892184.572043881,0.0,1358.473145058092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.4556266573417 
 01/17  12:00:00,24.762499999999997,4.8125,328.875,3.0,29.00251028610677,25.022436544170497,27.01247341513863,0.0084375,0.0084375,120.53809834107953,1.116093503158144,25.022436544170497,1.96875,1.0,0.0,17.401786466961466,0.0,2095.6802159210956,321.75294234932906,2684160.0000000006,7544448.7773159439,0.0,1179.8787764918557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.75294234932906 
 01/17  13:00:00,25.9,4.7125,322.25,3.0,28.939125130601956,25.00000000002012,26.969562565311038,0.0,0.0,101.9009251129009,0.943527084378712,25.00000000002012,2.0,1.0,0.0,17.401786466961466,0.0,2371.920284065034,383.7971495205526,3355200.0,8538913.022634123,0.0,1407.3969546041533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.7971495205526 
 01/17  14:00:00,26.949999999999997,5.0875,326.75,3.0,29.065131695129997,25.015882133107099,27.040506914118546,0.0,0.0,119.70309735295402,1.1083620125273522,25.015882133107096,1.977272727272727,1.0,0.0,17.401786466961466,0.0,2534.998853684243,395.908228393176,3355200.0,9125995.873263276,0.0,1451.8086849768097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.908228393176 
 01/17  15:00:00,26.9625,4.8875,332.75,3.0,29.015348888794674,25.015763215594018,27.01555605219434,0.0,0.0,117.81473373959321,1.0908771642554927,25.015763215594015,1.977272727272727,1.0,0.0,17.401786466961466,0.0,2516.779875613992,394.55519052374509,3355200.0,9060407.55221037,0.0,1446.8470499587274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.55519052374509 
 01/17  16:00:00,27.0125,3.95,328.75,3.0,29.077331002952687,25.013306244404548,27.04531862367862,0.0,0.0,87.93469392217344,0.8142101289090133,25.013306244404548,1.9791666666666668,1.0,0.0,17.401786466961466,0.0,2528.396954140062,395.41793634391765,3355200.0,9102229.034904225,0.0,1450.010767671132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.41793634391765 
 01/17  17:00:00,27.075,2.6249999999999997,316.25,3.0,28.867620492774785,25.014804477147587,26.941212484961186,0.0,0.0,43.86383431212616,0.40614661400116838,25.014804477147594,1.9772727272727285,1.0000000000000005,0.0,17.401786466961466,0.0,2401.676346823962,386.0069924438354,3355200.0,8646034.848566259,0.0,1415.5005223462977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0069924438354 
 01/17  18:00:00,26.0,2.6625,330.375,3.0,28.379582485337868,25.000000000000175,26.689791242669025,0.0,0.0,51.23914623911555,0.47443653925107,25.000000000000175,2.0,1.0,0.5,17.401786466961466,0.0,2180.6582023863884,369.5930136738807,3355200.0,7850369.528591,0.0,1355.309914462342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.5930136738807 
 01/17  19:00:00,24.9625,2.5,100.125,3.0,27.90997988800691,27.096012257921417,27.50299607296416,0.0,0.0,38.88500734230272,0.3600463642805808,27.096012257921417,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/17  20:00:00,22.3875,3.45,247.625,3.0,26.976717222217557,26.417424875015589,26.69707104861657,0.0,0.0,65.83885523915589,0.6096190299921842,26.417424875015589,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/17  21:00:00,20.8125,2.2,266.125,3.0,26.50328440465856,26.01871941222883,26.261001908443697,0.0,0.0,16.371389015266688,0.15158693532654345,26.01871941222883,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/17  22:00:00,21.0125,1.0,157.875,3.0,26.403530886342236,25.96732938798646,26.185430137164347,0.0,0.0,12.261798767632012,0.1135351737743705,25.96732938798646,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/17  23:00:00,21.2,1.1875,89.875,3.0,26.46539593140257,26.107344989470293,26.28637046043643,0.0,0.0,19.214495018769637,0.1779119909145337,26.107344989470293,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/17  24:00:00,20.8875,1.1750000000000003,62.125,3.0,26.26688127814374,25.9400947512937,26.103488014718719,0.0,0.0,13.93621864083564,0.1290390614892189,25.9400947512937,0.0,0.0,-1.0,17.401786466961466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
