Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Air System Sensible Heating Energy [J](Hourly),ZN1:Zone Air System Sensible Cooling Energy [J](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/21  21:00:00,8.8,2.3,160.0,10.0,14.896756663275767,14.445210667773536,14.670983665524652,0.0,0.0,20.730942275909784,0.1919531692213869,0.0,0.0,14.445210667773536,2572.789136697209,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  22:00:00,8.8,2.3,160.0,10.0,14.65974844430648,14.21595058157321,14.437849512939846,0.0,0.0,20.940188959700394,0.1938906385157444,0.0,0.0,14.21595058157321,2672.126204933148,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  23:00:00,8.8,2.3,160.0,10.0,14.433303857810837,14.00086342495793,14.21708364138438,0.0,0.0,21.079858617220976,0.1951838760853794,0.0,0.0,14.00086342495793,2762.6929229721172,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  24:00:00,8.8,2.3,160.0,10.0,14.213715691559399,13.792753555420467,14.003234623489933,0.0,0.0,21.185138572528659,0.19615869048637647,0.0,0.0,13.792753555420467,2849.4378284694903,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  01:00:00,23.882749999999999,3.4,330.0,9.0,28.659859543483806,28.049161640676826,28.354510592080318,0.0,0.0,75.0996141039414,0.6953667972587169,0.0,0.0,28.049161640676826,-1406.8065264340744,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  02:00:00,23.488500000000003,3.4,330.0,9.0,28.376850654980019,27.754032860031228,28.06544175750562,0.0,0.0,75.08922831352933,0.6952706325326792,0.0,0.0,27.754032860031228,-1275.9126472458888,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  03:00:00,23.208375,3.4,330.0,9.0,28.10897101459449,27.484173098880406,27.79657205673745,0.0,0.0,75.06767531248991,0.69507106770824,0.0,0.0,27.484173098880406,-1152.6351119008837,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  04:00:00,22.959374999999999,3.4,330.0,9.0,27.84848951906016,27.225114069449967,27.536801794255064,0.0,0.0,75.0439897240211,0.6948517567038992,0.0,0.0,27.225114069449967,-1032.837673516648,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  05:00:00,22.76225,3.4,330.0,9.0,27.59483931570796,26.97561703311098,27.285228174409473,0.0,0.0,75.01476553371877,0.694581162349248,0.0,0.0,26.97561703311098,-916.9310244865201,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/21  06:00:00,22.80375,3.4,330.0,9.0,27.371548787930224,26.771537420056906,27.071543103993567,0.0,0.0,74.960135441802,0.6940753281648333,0.0,0.0,26.771537420056906,-819.8268895756873,0.0,0.0,-1.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
